Hospital Name,Address,District ,City,State,Pincode
"Dr Agarwal Eye Hospital, Andaman","Near Radha Govind Temple, Rgt Road, Neil Island
Port Blair,",South Andaman,Port  Blair,Andaman & Nicobar Islands,744104
Anil Neerukond Hospital,"Opp: Three Polamamba Temples,Sangivalasa, Tagarapuvalasa, Bheemunipatnam, Visakhapatnam (Dist),Andhra Pradesh - 531 162.",Visakhapatnam,Visakhapatnam,Andhra Pradesh,531162
Krishna Childrens Hopsital,"#43-4-23,Railway New Colony ,  Visakhapatnam ( Vizag)",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530016
M/S. Jhansi Lakshmi Nursing Home,"D.No: 5-4-4, Palanadu Bus Stand Road, Narasaraopet, Guntur",Palnadu,Narasaraopet,Andhra Pradesh,522601
Sri Krishna Multi Speciality Hospital,"D.No:13-2-71,Gunturivari Thota,1St Line, Old Club Road,Kothapet,Guntur",Guntur,Guntur,Andhra Pradesh,522001
Sri Sai Satya Hospital,"46-1-Ss-1, Sapthagiri Nagar, New Ayyappa Swamy Temple, Joharapuram Road, Kurnool",Kurnool,Kurnool,Andhra Pradesh,518002
Sanjeeva Nethralaya,"25-559/A, Srinivasa Nagar, Nandyal - 518 501, Kurnool Dist",Nandyal,Nandyal,Andhra Pradesh,518501
Sri Venkateswara Institute Of Research And Rehabilitation For The Disabled (Virrd),"Thimmapuram, Dwaraka Tirumala, West Godavari",West Godavari,Timmapuram,Andhra Pradesh,534426
Svd Multispecality Hospitals,"32-2-10A, Ramaraostreet, Madhugardens, Moghalrajupuram, Vijayawada",Krishna,Vijayawada ,Andhra Pradesh,520010
Mahathma Gandhi Super Speciality Hospitals,"D.No:15-8-12, Panasathota,Chilakaluripet Road, Narasaraopet",Palnadu,Narasaraopet,Andhra Pradesh,522601
Sai Nursing Home,"#20-7-61, Sundhariha Bhavan Road",Prakasam,Ongole,Andhra Pradesh,523002
Chaitanya Cardiac Center,"Beside Akvk College, Anjaiah Road, Ongole, Andhra Pradesh",Prakasam,Ongole,Andhra Pradesh,523002
Aditya Multispeciality Hospital,"Gunturuvari Thota, 3Rd Line, Rtc Bus-Stand Opposite Street,\\Nbeside Peoples Trauma Hospital, Guntur &Ndash; 522 001.\\N",Guntur,Guntur,Andhra Pradesh,522001
Vijaya Harsha Mother And Child Hospital,"One Way Traffic Road, Between P.S.N.M.H.School, Near Saraswathi Mahal, Srikakulam",Srikakulam,Srikakulam,Andhra Pradesh,532001
Evr Super Speciality Hospital,"D.No 16/355 - B,Satyanarayanapuram,Opp.Busstand,",Krishna,Bethavolu,Andhra Pradesh,521301
G.K.Emergency Hospital,"D.No 22-4-53/8, Bank Employees Colony, Revenue Ward No 22, Tirupati, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Neelima Maternity Nursing Home,"#18-2-246, Road No.1, Abbanna Colony, Opposite Chinnari Hospital, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Sanjana Hospital,"No.30, Bachala Towers, Sgs Arts Road, Opp Convention Hall, Near Lakshmipuram Circle, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
K R Hospital,"D.No: 6-1-175A, Varadaraja Nagar, K T Road, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Union Hospitals,"29-4-7,Kodandarami Reddy Street, Governorpet, Vijayawada, Andhra Pradesh",Krishna,Vijayawada ,Andhra Pradesh,520002
Assure Multispeciality Hospital (A Unit Of Achsah Amodha),"Assure Multispeciality Hospital,Door No: 33-25-35/C, Puspha Hotel Road, Suryaraopet, Vijayawada",Krishna,Vijayawada ,Andhra Pradesh,520002
Krishna Maternity And Nursing Home,"#43-5-53, Railway New Colony, D Nagar",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530016
Latha  Poly Nursing Home,"8/702, Gandhi Road   Proddatur   Kadapa",Ysr Kadapa,Proddatur,Andhra Pradesh,516360
Navya Green Hills Hospital,"18-332, R.L.Puram, Brts Road, Chinagadili, Visakhapatnam",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
Praveen Hospital,"Pedapalakaluru,D.No.3-63,Guntur",Guntur,Guntur,Andhra Pradesh,522005
Vinayaka Hospital,"#2-6-2, Nadipallivari Street, Opp. To Sunil Scan Centre, J.P.Road, Bhimavaram",West Godavari,Bhimavaram ,Andhra Pradesh,534202
Citizen Super Speciality Hospital,"12-1-45, Sankkayala Factory Road  Kothapet Guntur.-1",Guntur,Guntur,Andhra Pradesh,522001
Gangina Hospitals,"#12-21-2, Arya Puram, Near Gokavaram Bus Stand",East Godavari,Rajahmundry,Andhra Pradesh,533104
Good Health New Central Hospital,"D.No : 50-121-76/,5,6,7 Sai Arcade,Bs Layout,Land Mark : Opp 4Th Town Police Station ,Visakhapatnam 530013",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530013
Hyma Hospital,"Pattabipuram Main Road, Opposite To Rythu Bazaar",Guntur,Guntur,Andhra Pradesh,522006
Amma Hospital,"Sriram Nagar ,Vinnamala Mazara ,Naidupet ,Nellore",Nellore,Nellore,Andhra Pradesh,524126
Sai Godavari Super Speciality Hospital,Visakhapatnam,Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
Sraddha Hospital,"D/No.14-37-45, Collector Office Junction",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002
Sai Chandan Eye Hospital,"Near Mani Puram Bridge,Ramireddy Thota",Guntur,Guntur,Andhra Pradesh,522001
Sree Bala Nursing Home & Ent Care Centre,"#45628, Dantuvari Street, Behind Chandana Brothers",Kakinada,Kakinada,Andhra Pradesh,533001
Geeta Hospitals (Run By Sri Geeta Health Care Pvt. Ltd.),"D.No.22-7-2/1, Vinnakotavari Street,\Nopposite Street To Polytechnic College",West Godavari,Tanuku,Andhra Pradesh,534211
Kaushiks Capital Hospital,"Opp-Metro Tollywood Theater Kotha Pet , Guntur",Guntur,Guntur,Andhra Pradesh,522001
Queens Nri Hospital,"#50-53-14, Gurudwara Lane, Seethammadhara",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530013
Balaji Multispeciality Hospital,"No 13/261-7, Opp Government Railway Station Road, Gudur,Spsr  Nellore",Tirupati  ,Gudur,Andhra Pradesh,524101
Modern Eye Hospital & Research Centre,"#7/13/1, Lawyerpet, 5Th Lane Extension",Prakasam,Ongole,Andhra Pradesh,523002
Manvi Hospitals Llp,"29-12-43, Venkataratnam Street, 4Th Line, Nakkala Road, Suryaraopet, Vijayawada , Suryaraopet , Vijayawada (Urban) , Andhra Pradesh",Krishna,Vijayawada,Andhra Pradesh,520002
Sri Care Hospital,"D.No : :13-145,Beside Grand Navayuga  Hotel ,Jupalli Center ,Vinukonda Road ,Narasaraopet ,Guntur",Palnadu,Narasaraopet,Andhra Pradesh,522601
Madhuri Remedy Hospital,"#6-7-556, Hare Rama Hare Krishna Road, Beside Fedaral Bank",Chittoor,Tirupati,Andhra Pradesh,517501
C.D.R.Hospital,"Door No: 7-12/1, Ttd Kalyana Mandapam Road, Anaparthi",East Godavari,Anaparthy,Andhra Pradesh,533342
Bharathi Nursing Home,"D No.37-1-169/37, S Sundariah Bhavan Road, Ongole",Prakasam,Ongole,Andhra Pradesh,523002
Royal Multi Speciality Hospital,"# 37-1-169/40/1, Sundharaiah Bhavan Road",Prakasam,Ongole,Andhra Pradesh,523002
Varma Hospitals,"Visakha Dairy Parlour Road Plot 5B, Healthcity Chinagadili Visakhapatnam",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
